epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,3321.31,1.1412,0.70183,0.86834,0.51533,0.39588,0.40351,0.24183,1.22032,0.86015,0.88701,0.001585,0.001585,0.001585
87,3358.6,1.13589,0.6969,0.86684,0.51841,0.39418,0.40246,0.24094,1.21938,0.86035,0.88647,0.001486,0.001486,0.001486
88,3396.21,1.13018,0.69146,0.86609,0.51885,0.39483,0.40099,0.24035,1.22065,0.86262,0.88666,0.001387,0.001387,0.001387
89,3435.41,1.13527,0.6942,0.86679,0.51704,0.39311,0.40141,0.24065,1.22118,0.86241,0.88644,0.001288,0.001288,0.001288
90,3474.5,1.13248,0.69309,0.86686,0.51598,0.39216,0.40205,0.23985,1.22147,0.86322,0.8865,0.001189,0.001189,0.001189
91,3511.02,1.1156,0.67447,0.86753,0.51918,0.39048,0.40032,0.2389,1.22541,0.86701,0.88769,0.00109,0.00109,0.00109
92,3548.25,1.10621,0.66045,0.86397,0.51073,0.39159,0.39991,0.23805,1.22566,0.86776,0.88724,0.000991,0.000991,0.000991
93,3587.95,1.10216,0.65759,0.86339,0.51207,0.39054,0.39883,0.23822,1.22527,0.86728,0.88756,0.000892,0.000892,0.000892
94,3626.3,1.09865,0.65328,0.86459,0.51245,0.39027,0.39933,0.23849,1.22686,0.86895,0.88805,0.000793,0.000793,0.000793
95,3663.63,1.09384,0.64839,0.86244,0.50534,0.39281,0.39851,0.23778,1.22594,0.8697,0.88766,0.000694,0.000694,0.000694
96,3701.13,1.08955,0.64245,0.86101,0.50297,0.39398,0.39816,0.23719,1.22766,0.8703,0.88777,0.000595,0.000595,0.000595
97,3738.56,1.08764,0.64153,0.86155,0.50895,0.39103,0.39825,0.23745,1.22616,0.87071,0.88757,0.000496,0.000496,0.000496
98,3775.52,1.08432,0.63757,0.85992,0.50324,0.39382,0.39824,0.23761,1.22693,0.87253,0.88732,0.000397,0.000397,0.000397
99,3811.79,1.08295,0.63609,0.86042,0.49813,0.39597,0.39691,0.23711,1.22795,0.87312,0.8875,0.000298,0.000298,0.000298
100,3849.12,1.08286,0.63393,0.86007,0.50404,0.39158,0.3975,0.23729,1.2274,0.87287,0.88734,0.000199,0.000199,0.000199
